factor,factor_value,conditional_ntu,selected_main_factor,other_features
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
treated_ph,7.3,0.277822586,False,held at training medians; current and lagged terms moved together
cl2,1,0.3061107705,False,held at training medians; current and lagged terms moved together
cl2,1.033333333,0.3042055602,False,held at training medians; current and lagged terms moved together
cl2,1.066666667,0.302303129,False,held at training medians; current and lagged terms moved together
cl2,1.1,0.3004034728,False,held at training medians; current and lagged terms moved together
cl2,1.133333333,0.2985065877,False,held at training medians; current and lagged terms moved together
cl2,1.166666667,0.2966124695,False,held at training medians; current and lagged terms moved together
cl2,1.2,0.2947211143,False,held at training medians; current and lagged terms moved together
cl2,1.233333333,0.292832518,False,held at training medians; current and lagged terms moved together
cl2,1.266666667,0.2909466765,False,held at training medians; current and lagged terms moved together
cl2,1.3,0.2890635859,False,held at training medians; current and lagged terms moved together
cl2,1.333333333,0.2871832422,False,held at training medians; current and lagged terms moved together
cl2,1.366666667,0.2853056412,False,held at training medians; current and lagged terms moved together
cl2,1.4,0.2834307792,False,held at training medians; current and lagged terms moved together
cl2,1.433333333,0.2815586519,False,held at training medians; current and lagged terms moved together
cl2,1.466666667,0.2796892555,False,held at training medians; current and lagged terms moved together
cl2,1.5,0.277822586,False,held at training medians; current and lagged terms moved together
cl2,1.533333333,0.2759586394,False,held at training medians; current and lagged terms moved together
cl2,1.566666667,0.2740974117,False,held at training medians; current and lagged terms moved together
cl2,1.6,0.2722388989,False,held at training medians; current and lagged terms moved together
cl2,1.633333333,0.2703830972,False,held at training medians; current and lagged terms moved together
cl2,1.666666667,0.2685300025,False,held at training medians; current and lagged terms moved together
cl2,1.7,0.2666796108,False,held at training medians; current and lagged terms moved together
cl2,1.733333333,0.2648319184,False,held at training medians; current and lagged terms moved together
cl2,1.766666667,0.2629869211,False,held at training medians; current and lagged terms moved together
cl2,1.8,0.2611446151,False,held at training medians; current and lagged terms moved together
alum,0.05,0.277822586,False,held at training medians; current and lagged terms moved together
alum,0.05041666667,0.2788640362,False,held at training medians; current and lagged terms moved together
alum,0.05083333333,0.2799063351,False,held at training medians; current and lagged terms moved together
alum,0.05125,0.2809494836,False,held at training medians; current and lagged terms moved together
alum,0.05166666667,0.2819934822,False,held at training medians; current and lagged terms moved together
alum,0.05208333333,0.2830383317,False,held at training medians; current and lagged terms moved together
alum,0.0525,0.2840840328,False,held at training medians; current and lagged terms moved together
alum,0.05291666667,0.2851305861,False,held at training medians; current and lagged terms moved together
alum,0.05333333333,0.2861779924,False,held at training medians; current and lagged terms moved together
alum,0.05375,0.2872262524,False,held at training medians; current and lagged terms moved together
alum,0.05416666667,0.2882753667,False,held at training medians; current and lagged terms moved together
alum,0.05458333333,0.2893253361,False,held at training medians; current and lagged terms moved together
alum,0.055,0.2903761612,False,held at training medians; current and lagged terms moved together
alum,0.05541666667,0.2914278427,False,held at training medians; current and lagged terms moved together
alum,0.05583333333,0.2924803814,False,held at training medians; current and lagged terms moved together
alum,0.05625,0.293533778,False,held at training medians; current and lagged terms moved together
alum,0.05666666667,0.294588033,False,held at training medians; current and lagged terms moved together
alum,0.05708333333,0.2956431473,False,held at training medians; current and lagged terms moved together
alum,0.0575,0.2966991216,False,held at training medians; current and lagged terms moved together
alum,0.05791666667,0.2977559565,False,held at training medians; current and lagged terms moved together
alum,0.05833333333,0.2988136527,False,held at training medians; current and lagged terms moved together
alum,0.05875,0.299872211,False,held at training medians; current and lagged terms moved together
alum,0.05916666667,0.300931632,False,held at training medians; current and lagged terms moved together
alum,0.05958333333,0.3019919165,False,held at training medians; current and lagged terms moved together
alum,0.06,0.3030530651,False,held at training medians; current and lagged terms moved together
tw_flow,41.8,0.2679407842,False,held at training medians; current and lagged terms moved together
tw_flow,42.11666667,0.2688857138,False,held at training medians; current and lagged terms moved together
tw_flow,42.43333333,0.2698313476,False,held at training medians; current and lagged terms moved together
tw_flow,42.75,0.2707776861,False,held at training medians; current and lagged terms moved together
tw_flow,43.06666667,0.2717247299,False,held at training medians; current and lagged terms moved together
tw_flow,43.38333333,0.2726724794,False,held at training medians; current and lagged terms moved together
tw_flow,43.7,0.2736209353,False,held at training medians; current and lagged terms moved together
tw_flow,44.01666667,0.274570098,False,held at training medians; current and lagged terms moved together
tw_flow,44.33333333,0.275519968,False,held at training medians; current and lagged terms moved together
tw_flow,44.65,0.276470546,False,held at training medians; current and lagged terms moved together
tw_flow,44.96666667,0.2774218323,False,held at training medians; current and lagged terms moved together
tw_flow,45.28333333,0.2783738276,False,held at training medians; current and lagged terms moved together
tw_flow,45.6,0.2793265324,False,held at training medians; current and lagged terms moved together
tw_flow,45.91666667,0.2802799472,False,held at training medians; current and lagged terms moved together
tw_flow,46.23333333,0.2812340725,False,held at training medians; current and lagged terms moved together
tw_flow,46.55,0.2821889089,False,held at training medians; current and lagged terms moved together
tw_flow,46.86666667,0.2831444568,False,held at training medians; current and lagged terms moved together
tw_flow,47.18333333,0.2841007169,False,held at training medians; current and lagged terms moved together
tw_flow,47.5,0.2850576896,False,held at training medians; current and lagged terms moved together
tw_flow,47.81666667,0.2860153755,False,held at training medians; current and lagged terms moved together
tw_flow,48.13333333,0.2869737751,False,held at training medians; current and lagged terms moved together
tw_flow,48.45,0.287932889,False,held at training medians; current and lagged terms moved together
tw_flow,48.76666667,0.2888927177,False,held at training medians; current and lagged terms moved together
tw_flow,49.08333333,0.2898532616,False,held at training medians; current and lagged terms moved together
tw_flow,49.4,0.2908145214,False,held at training medians; current and lagged terms moved together
