rw_ntu_lag_steps,rw_ph_lag_steps,alum_lag_steps,rw_flow_lag_steps,ridge,mean_validation_rmse_ntu
0,3,2,0,0.1,0.5352301464169131
0,3,2,0,1.0,0.535390500030621
0,3,2,0,10.0,0.5357989710715874
0,3,2,0,100.0,0.5475035288521132
0,3,2,1,0.01,0.5376306830640705
0,3,2,1,0.1,0.537593821194436
0,3,2,1,1.0,0.5374102510970502
0,3,2,1,10.0,0.5375982134402214
0,3,2,1,100.0,0.5491280965660991
0,3,2,2,0.01,0.5357218803480973
0,3,2,2,0.1,0.5358602933624901
0,3,2,2,1.0,0.5360959950301272
0,3,2,2,10.0,0.5366109358448334
0,3,2,2,100.0,0.5484725025364809
0,3,2,3,0.01,0.5327015531685455
0,3,2,3,0.1,0.5330567035321064
0,3,2,3,1.0,0.5338066783098339
0,3,2,3,10.0,0.5345992453752995
0,3,2,3,100.0,0.5464128738289833
0,3,3,0,0.01,0.535319657995382
0,3,3,0,0.1,0.5353737516665238
0,3,3,0,1.0,0.5354066622695384
0,3,3,0,10.0,0.5357744945918332
0,3,3,0,100.0,0.5474412441888657
0,3,3,1,0.01,0.5378018850356684
0,3,3,1,0.1,0.5377433464432934
0,3,3,1,1.0,0.5374698943930776
0,3,3,1,10.0,0.5375904303975051
0,3,3,1,100.0,0.5490572807958115
0,3,3,2,0.01,0.5357508979637606
0,3,3,2,0.1,0.5359074705450474
0,3,3,2,1.0,0.5361339004833654
0,3,3,2,10.0,0.5366146240182735
0,3,3,2,100.0,0.5484206358435503
0,3,3,3,0.01,0.5327473714741111
0,3,3,3,0.1,0.5331159215800545
0,3,3,3,1.0,0.5338476143488234
0,3,3,3,10.0,0.5345983092367061
0,3,3,3,100.0,0.5463563866471512
1,0,0,0,0.01,0.5325585708702024
1,0,0,0,0.1,0.5326845797619784
1,0,0,0,1.0,0.5329269984963613
1,0,0,0,10.0,0.533592735511243
1,0,0,0,100.0,0.5457115884739028
1,0,0,1,0.01,0.5350340595363675
1,0,0,1,0.1,0.5350076835906773
1,0,0,1,1.0,0.5349126188734008
1,0,0,1,10.0,0.5353829844347525
1,0,0,1,100.0,0.5473309040996226
1,0,0,2,0.01,0.5332360404188493
1,0,0,2,0.1,0.5333628150033493
1,0,0,2,1.0,0.5336624059991267
1,0,0,2,10.0,0.534428998431663
1,0,0,2,100.0,0.5466915619862399
1,0,0,3,0.01,0.5303030437217662
1,0,0,3,0.1,0.5306458254591641
1,0,0,3,1.0,0.5314475524948636
1,0,0,3,10.0,0.5324462119659729
1,0,0,3,100.0,0.5446357216499871
1,0,1,0,0.01,0.5335724126069539
1,0,1,0,0.1,0.533690162725917
1,0,1,0,1.0,0.5337648456797593
1,0,1,0,10.0,0.5341256515973184
1,0,1,0,100.0,0.546136558313837
1,0,1,1,0.01,0.5360916154687789
1,0,1,1,0.1,0.5360571433376768
1,0,1,1,1.0,0.5357885778745518
1,0,1,1,10.0,0.5359254351161429
1,0,1,1,100.0,0.5477574016863952
1,0,1,2,0.01,0.5342053032912839
1,0,1,2,0.1,0.5343375947767917
1,0,1,2,1.0,0.5344910972694865
1,0,1,2,10.0,0.5349609113216591
1,0,1,2,100.0,0.5471210750437938
1,0,1,3,0.01,0.5312582592567031
1,0,1,3,0.1,0.5315893192375295
